idx,Title of the Solution,Type of the Solution,Affected Sector,Description of the solution,Socio-economic effects,Type of Measure--1. active measures (direct measures for reduction of air pollution),Type of Measure--2. policy/regulation measure,Type of Measure--3. mitigation measures,Type of Measure--4. awareness raising and knowladge sharing,Type of sub-measure--1. active measures (direct measures for reduction of air pollution),Type of sub-measure--2. policy/regulation measure,Type of sub-measure--3. mitigation measures,Type of sub-measure--4. awareness raising and knowladge sharing,Type of sub-measure--5. (none),Who led the solution--civil society organization,Who led the solution--environmental ngos,Who led the solution--households/individuals,Who led the solution--international development agencies,Who led the solution--international organization,Who led the solution--local government,Who led the solution--national government,Who led the solution--other,Who led the solution--other public institution,Who led the solution--private sector,Who led the solution--professional organization,Who led the solution--schools,Who led the solution--students,Who led the solution--teachers,Who led the solution--academia,Timescale of implementation--long-term (5 and above),Timescale of implementation--medium-term (2-4 years),Timescale of implementation--ongoing (data collection and advocacy are continuous processes),Timescale of implementation--short-term (up to 1 year),Timescale of implementation--varies,Other Notes,Location--1,Location--2,Location--3,Location--4,Location--5,Location--6,Location--7,Location--8,Location--9,Location--10,Location--11,Location--12,Location--13,Tags for the solution--1,Tags for the solution--2,Tags for the solution--3,Tags for the solution--4,Tags for the solution--5,SDG(s)--1,SDG(s)--2,SDG(s)--3,SDG(s)--4,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,location-5-lat,location-5-lng,location-6-lat,location-6-lng,location-7-lat,location-7-lng,location-8-lat,location-8-lng,location-9-lat,location-9-lng,location-10-lat,location-10-lng,location-11-lat,location-11-lng,location-12-lat,location-12-lng,location-13-lat,location-13-lng,auto_thematic-tag-1,auto_thematic-tag-2,auto_thematic-tag-3,auto_thematic-tag-4,auto_thematic-tag-5,auto_thematic-tag-6,auto_thematic-tag-7,auto_thematic-tag-8,auto_thematic-tag-9,auto_thematic-tag-10,auto_thematic-tag-11,auto_thematic-tag-12,auto_thematic-tag-13,auto_thematic-tag-14,auto_thematic-tag-15,auto_thematic-tag-16,auto_thematic-tag-17,auto_thematic-tag-18,auto_thematic-tag-19,auto_thematic-tag-20,auto_thematic-tag-21,auto_thematic-tag-22,auto_thematic-tag-23,auto_thematic-tag-24,auto_thematic-tag-25,auto_thematic-tag-26,auto_thematic-tag-27,auto_thematic-tag-28,auto_thematic-tag-29,auto_thematic-tag-30,auto_thematic-tag-31,auto_thematic-tag-32,auto_thematic-tag-33,auto_thematic-tag-34,auto_thematic-tag-35,auto_thematic-tag-36,auto_thematic-tag-37,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4
11,Street Lighting Sensory Network,"Technology, Monitoring",Industry,"Carbon dioxide monitors inside the streets‚Äô smart lights, which can provide real-time information on the worst affected areas regarding air pollution, allowing for more effective strategies in combating pollution and letting residents know which areas of the city are at the most significant risk to their health.","Savings, Reduced costs of lamp maintenance, Better quality public services, Collection of data for further processing and public space optimization",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"50.0874654, 14.4212535",,,,,,,,,,,,,Smart city,Monitoring,,,,Sustainable cities and communities,Climate action,,,50.0874654,14.4212535,,,,,,,,,,,,,,,,,,,,,,,,,lighting,populated,publication,demographics,émissions,innovationchallenge,cooled,share_link,excels,day,project,collaborative,colourful,month,observations,administration,municipales,improve,measuring,decades,improving,analyse,analyzed,neighborhood,pollution,political,photo,participate,improvement,color,bicicleta,politicians,neighbourhood,entrenamiento,older,,,monitoring,Smart City,,,,,,,
12,Pollution vacuum cleaners,Technology,Improve Air Quality,"Giant vacuum cleaners placed on buildings to clean the surrounding air, which can eliminate 100% of fine particles and 95% of ultra-fine particles within a 984-foot radius (300 meters).",Health,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"52.2434979, 5.6343227",,,,,,,,,,,,,Pollution cleaner,Remove contaminants,,,,Good health and well-being,Climate action,,,52.2434979,5.6343227,,,,,,,,,,,,,,,,,,,,,,,,,ejecución,clean,vapeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution cleaner,Remove contaminants,,,,,,,
13,AIR - INK,Technology,Transport,"Ink products made by condensing carbon-based gaseous effluents generated by air pollution due to incomplete combustion of fossil fuels.
It was made by Graviky Labs and was funded via Kickstarter People have to connect the KAALINK device to their car exhaust pipe, and within 45 minutes of driving, they‚Äôll have one fluid ounce (30 ml) of ink. The captured pollutants are then purified in a lab and manufactured into usable ink.","Reduce air pollution, create economic opportunities for both individuals and businesses, encourage further innovation in the field of environmental sustainability.",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"42.3788774, -72.032366",,,,,,,,,,,,,Pollutants utilization,,,,,Good health and well-being,Climate action,,,42.3788774,-72.032366,,,,,,,,,,,,,,,,,,,,,,,,,huge,biowaste,craft,populated,demographics,émissions,innovationchallenge,cooled,repurposed,excels,day,project,regions,eco,ecological,month,observations,developed,improve,measuring,decades,improving,analyse,innovate,neighborhood,pollution,improvement,efficient,neighbourhood,sustainable,entrenamiento,older,,,,,,Pollutants utilization,,,,,Good health and well-being,Climate action,,
14,Smart Green ASEAN Cities,"Technology, City Planning",Construction,"An European Union (EU) funded programme implemented by UNCDF in partnership with the ASEAN Secretariat in Jakarta, Indonesia. It  promotes sustainable urbanization in ASEAN by investing in green and smart city solutions.","Reduce the environmental and carbon footprints of selected ASEAN cities through green and smart solutions, promote energy efficiency and renewable energy and reduced air pollution, and contribute to the development of a circular economy.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"1.3364551, 103.8674211",,,,,,,,,,,,,Green city,Smart City,Financial support,Digital transformation,Subsidy,Sustainable cities and communities,Climate action,,,1.3364551,103.8674211,,,,,,,,,,,,,,,,,,,,,,,,,measuring,analyse,neighborhood,political,regulations,participate,politicians,improve,decades,varieties,huge,older,threats,demographics,harm,required,restrictions,excels,day,liter,month,observations,neighbourhood,larger,administration,municipales,,,,,,,,,,,,Subsidy,digital transformation,Financial support,Green city,Smart City,Sustainable cities and communities,Climate action,,
15,Electric Ireland Superhomes,Subsidy scheme,Households,"As an obligated party under the Irish energy efficiency obligation scheme (EEOS), Electric Ireland has set up a one-stop shop that provides energy efficiency measures such as installing heat pumps or a whole house retrofit including a renewable energy air source heat pump, high-standard insulation, air-tightness and advanced ventilation for indoor air quality. To finance the services, energy-poor customers can access grants from the Sustainable Energy Authority of Ireland.","Improved health, increased energy affordability due to lowered consumption",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"On finance: to access this solution, energy-poor customers can receive grants from the Sustainable Energy Authority of Ireland (government authority).","52.865196, -7.9794599",,,,,,,,,,,,,Energy Efficiency,Energy,Utilities,Energy Savings,EEOS,Good health and well-being,Climate action,,,52.865196,-7.9794599,,,,,,,,,,,,,,,,,,,,,,,,,fundraising,isolated,providers,harm,required,installing,retailers,costs,cooled,charity,financières,poor,improve,financial,downloaded,coverage,wraps,vendors,greenhouse,shield,participate,clients,money,purchase,computer,padding,threats,ambient,business,craft,launched,,,,,,,Utilities,energy efficiency,energy,EEOS,Energy savings,Good health and well-being,Climate action,,
16,Energy Efficiency Obligation Scheme,Policy,Industry,"An energy efficiency obligation scheme (EEOS) is one way for EU Member States to achieve annual energy savings that are legally mandated. Under an EEOS, obligated energy companies have to carry out energy efficiency measures that help final consumers improve energy efficiency. This may include for example improving the energy efficiency of buildings, early replacement of electric motors, and installing energy management systems. In the spirit of a just transition, a share of these measures must be directed to households vulnerable to energy poverty.","Improved health, increased energy affordability due to decrease in energy needs",FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"42.6795963, 23.3214829",,,,,,,,,,,,,Energy Efficiency,Energy,Utilities,Energy Savings,EEOS,Good health and well-being,Climate action,,,42.6795963,23.3214829,,,,,,,,,,,,,,,,,,,,,,,,,launched,efficient,politicians,ensuring,stay,contenedores,business,craft,easier,required,installing,desired,lack,repurposed,electric,project,financières,poor,assistance,administration,improve,downloaded,improving,preserve,managers,participate,improvement,purchase,computer,,,,,,,,,Utilities,EEOS,energy,Energy savings,energy efficiency,Good health and well-being,Climate action,,
17,,Subsidy scheme,Households,"The National Energy Efficiency Program for induction cooking and electric water heating in the residential sector consists of replacing liquified petroleum gas (LPG) stoves with electric induction stoves in Ecuador's residential sector, taking advantage of the availability of electricity generated mainly from renewable sources. The program involves long-term and low-interest loans for users for the purchase of electric stoves and a fixed number of free kilowatt hours monthly and subsidized electricity. The program has so far put induction stoves in 750,000 households in Ecuador. Swapping LPG for electricity from non-fossil sources promotes both reduced air pollution and greenhouse gas emissions.","Improved health from indoor air pollution, affordable clean energy",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"A recent study shows that emissions and hospitalizations fell 'in lockstep' with electric stove adoption induced by the program https://sustainability.stanford.edu/news/ecuador-emissions-and-hospitalizations-fell-lockstep-electric-stove-adoption

On finance: The project is government-funded and involves long-term and low-interest loans to purchase the electric stoves. Additionally, the project participants receive a fixed number of free kilowatt hours monthly and subsidized electricity.","-1.3397668, -79.3666965",,,,,,,,,,,,,Energy Efficiency,Induction Stove,Clean Cooking,Electrification,,Good health and well-being,Climate action,,,-1.3397668,-79.3666965,,,,,,,,,,,,,,,,,,,,,,,,,electric,cooking,easier,required,restrictions,desired,problemes,health,sd,project,guide,colourful,solución,assistance,crafts,great,improving,thematic,foods,complicated,food,problems,permits,decent,sdgs,clean,regulations,dcacafbdddbfec,choices,ccaefebcadadcbd,medicine,craft,,,,,,energy efficiency,clean cooking,Induction Stove,Electrification,,Good health and well-being,Climate action,,
18,Hire-purchase Solar Panels,Innovative business model,Households,"The hire-purchase business model for solar panels aims to provide households with off-grid access to affordable clean energy through solar panels. SolarNow is a solar company based in Uganda that previously sold, installed, and serviced high-quality modular solar home systems on a hire-purchase basis to mostly rural households and businesses. Customers were offered an affordable 12-month plan that typically involved a deposit on the system followed by 12 monthly installments, after which they own the system. SolarNow has now evolved into an energy solution provider supporting businesses as well as institutions in the Education, Healthcare, and Non-profit sectors.","Improved health, affordable clean energy",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Consult this study for a case study and further details of SolarNow's business model https://cleancooking.org/wp-content/uploads/2021/07/421-1.pdf 

On finance: The hire-purchase business model allowed more people to afford solar plants. Customers were offered an affordable 12-month plan that typically involved a deposit on the system followed by 12 monthly installments, after which they own the system.","1.5333554, 32.2166578",,,,,,,,,,,,,Hire-Purchase,Solar Energy,Clean Energy,Energy Transition,Energy,Good health and well-being,Affordable and clean energy,Climate action,,1.5333554,32.2166578,,,,,,,,,,,,,,,,,,,,,,,,,accessible,choices,analyse,vendors,neighborhood,translation,sun,photo,керівник,improvement,huge,older,business,neighbourhood,efficient,public,language,isolated,solar,demographics,formalization,restrictions,retailers,excels,day,financières,regions,purchase,month,observations,tomorrow,measuring,decades,improving,,,,energy,solar energy,clean energy,Energy Transition,Hire-Purchase,Affordable and clean energy,Climate action,Good health and well-being,
19,Affordable biogas plants,Innovative business model,Households,"To facilitate clean cooking, Grameen Shakti is a social enterprise that introduced its Biogas Program in 2005 offering the installment of plants that turn organic waste into biogas. Biogas is therefore a clean cooking fuel, the residue can be used as a high-quality fertilizer and it reduces pollution. Biogas is a popular solution in rural areas due to the low cost of set-up and the abundance of organic waste materials.  So far, the company has installed more than 36,000 biogas plants all over Bangladesh. Grameen Shakti offers a hybrid payment model that incorporates features of microfinance and an in-house credit model, resulting in a more affordable biogas plant.","Improved health, affordable clean energy",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Consult this study for a case study and further details of Grameen Shakti's business model https://cleancooking.org/wp-content/uploads/2021/07/421-1.pdf 

On finance: The hybrid payment business model incorporates microfinance and an in-house credit model, resulting in more affordable biogas plants.","24.4769288, 90.2934413",,,,,,,,,,,,,Biogas,Biogas Plant,Clean Energy,Renewable Energy,Energy,Good health and well-being,Affordable and clean energy,Responsible consumption and production,Climate action,24.4769288,90.2934413,,,,,,,,,,,,,,,,,,,,,,,,,micro,language,isolated,formalization,restrictions,costs,health,biocoal,day,financières,regions,ecological,month,financial,decades,improving,cheap,neighborhood,translation,керівник,accessible,money,purchase,efficient,public,medicine,biomimicry,neighbourhood,biowaste,huge,older,business,,,,,,Biogas Plant,clean energy,biogas,renewable energy,energy,Good health and well-being,Affordable and clean energy,Responsible consumption and production,Climate action
20,Pay-As-You-Go Solar,Innovative business model,Households,"Large upfront costs often deter clean energy use.  The Pay-As-You-Go (PAYG) approach to solar energy removes the upfront price barrier by allowing end users to pay in affordable amounts over time. A company essentially rents consumers a solar home system. Basic systems have enough power to charge phones and lights, and larger ones can power small appliances like radios or TVs. PAYG schemes use smart meters installed in households to monitor energy use and enable consumers to pay in smaller increments on a daily, weekly, or monthly basis using mobile banking platforms. Through this model,  access to energy in off-grid areas is improved, companies can minimize the cost of collections by automating the receipt of payments and remote rural customers get immediate access to basic electricity without having to take out a loan.","Improved public health, increased access to affordable elecricity",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Pay-As-You-Go can also be applied to other renewable energy sources such as biomass.

On finance: The Pay-As-You-Go (PAYG) business model renting solar home systems or other solutions allows end users to pay affordable amounts over time.","1.4419683, 38.4313975","-6.5247123, 35.7878438",,,,,,,,,,,,Pay-as-you-go,PAYG,Solar Energy,Clean Energy,Energy Transition,Good health and well-being,Affordable and clean energy,Climate action,,-6.5247123,35.7878438,1.4419683,38.4313975,,,,,,,,,,,,,,,,,,,,,,,month,isolated,solar,harm,required,restrictions,costs,problemes,day,project,financières,mothers,solución,improve,human,decades,improving,cheap,complicated,persons,problems,permits,sun,photo,gender,accessible,pay,money,purchase,public,efficient,threats,business,older,huge,,,PAYG,Pay-as-you-go,clean energy,Energy Transition,solar energy,Affordable and clean energy,Climate action,Good health and well-being,
21,Heat pump,Technology,Households,"Heat pumps help improve air quality and reduce GHG emissions compared to conventional heating technologies. A heat pump uses technology similar to that found in an air conditioner. It extracts heat from a source, such as the surrounding air, geothermal energy stored in the ground, or nearby sources of water or waste heat from a factory. Because most of the heat is transferred rather than generated, heat pumps are far more efficient than conventional heating technologies such as boilers or electric heaters. Households with a heat pump also spend less on energy than those using a gas boiler. In addition, a large‚Äêscale switch to heat pumps can prevent other risks associated with fossil fuel combustion such as carbon monoxide from poorly serviced heating stoves and gas boilers.","Improved indoor and outdoor air quality, cost-effectiveness",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"For more information about heat pumps, see the International Energy Agency's report here: https://iea.blob.core.windows.net/assets/4713780d-c0ae-4686-8c9b-29e782452695/TheFutureofHeatPumps.pdf 

On finance:
Many countries (particularly in Europe) subsidize heat pumps to increase affordability.","53.5120412, -2.2434612",,,,,,,,,,,,,Heat Pump,Heating,Household Air Pollution,HAP,Indoor Air Pollution,Good health and well-being,Climate action,,,53.5120412,-2.2434612,,,,,,,,,,,,,,,,,,,,,,,,,food,heat,pipe,purchase,threats,business,older,pipes,poor,month,improve,decades,foods,greenhouse,réservoir,cooking,harm,reservoir,costs,cooled,electric,day,financières,,,,,,,,,,,,,,,Heat Pump,Household Air Pollution,HAP,Indoor air pollution,Heating,Good health and well-being,Climate action,,
22,15-minute city,Urban Planning,Transport,"Initially proposed in 2016 by Carlos Moreno, the ‚Äú15-Minute City‚Äù is an urban model that allows everyone, in every neighbourhood, to meet most of their daily needs within a short walk or bike ride of their home. Among other objectives, it aims to reduce unnecessary and unwanted travel and promote a modal shift away from private vehicles, delivering all the rewards of green and healthy transport and cleaner air. Overall, the goal is that of building safer, more resilient, sustainable and inclusive cities, as depicted in the Sustainable Development Goal 11. The concept has been adopted by Barcelona, Bogot√°, Melbourne, Ottawa, Paris, and Shanghai.","Increased accessibility to services, local economic development, health benefits from both active modes of transport (walking, biking, etc.) and improved air quality.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"This solution has its origin in academia and has so far been adopted in Barcelona, Bogot√°, Chengdu, Guangzhou, Houston, Melbourne, Ottawa, Paris, Portland, and Shanghai.


For more information on the implementation of 15-minute cities, see https://www.c40knowledgehub.org/s/article/Why-every-city-can-benefit-from-a-15-minute-city-vision?language=en_US","39.7837304, -100.445882","61.0666922, -107.991707","-24.7761086, 134.755","46.603354, 1.8883335","35.000074, 104.999927","4.099917, -72.9088133","39.3260685, -4.8379791",,,,,,,15-minute city,Urban planning,Academia,Active transport,Walkable city,Good health and well-being,Sustainable cities and communities,Climate action,,35.000074,104.999927,61.0666922,-107.991707,39.7837304,-100.445882,4.099917,-72.9088133,39.3260685,-4.8379791,46.603354,1.8883335,-24.7761086,134.755,,,,,,,,,,,,,neighbourhood,educational,required,restrictions,instructors,health,project,financières,ride,municipales,improve,travel,financial,improving,bike,neighborhood,participate,improvement,accessible,money,purchase,medicine,transport,educators,business,,,,,,,,,,,,,Urban planning,Active transport,academia,Walkable city,15-minute city,Climate action,Sustainable cities and communities,Good health and well-being,
23,Smog-Reducing Roofs,Design,Construction,3M has developed Smog-Reducing Granules that allow manufacturers to produce shingles or capsheets that help eliminate smog pollutants and improve air quality. Each home or building with Smog-Reducing shingles helps remove smog pollutants that come in contact with that roof. The nitrogen oxides in smog are converted into a nitrate salt solid which is a more plant usable form of nitrogen.  The roof on a typical home has the smog-fighting capacity of 2-3 trees with over 1 million trees worth of smog-fighting roofing installed so far.,Improved public health. The smog-reducing granules are also more reflective than other standard-colored granules. That helps communities bring down the urban heat island effect on scorching summer days.,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"39.7837304, -100.445882",,,,,,,,,,,,,Smog,Smog-Reducing Roofs,Innovation,Construction,Infrastructure,Good health and well-being,Sustainable cities and communities,,,39.7837304,-100.445882,,,,,,,,,,,,,,,,,,,,,,,,,radiative,improving,slabs,participate,improvement,agricultiural,towers,medicine,itching,shingles,health,day,tower,layout,month,shaving,improve,,,,,,,,,,,,,,,,,,,,,Construction,infrastructure,Smog,Smog-Reducing Roofs,innovation,Good health and well-being,Sustainable cities and communities,,
24,Regenerative Biofilter,Design,Improve Air Quality,"Green City Solutions, with its biotechnology that combines the capabilities of mosses with the latest Internet of Things technology, has developed the world's first regenerative biofilters which helps people in particularly polluted urban areas to get fresh air and thus more healthy and quality of life. Innovative natural systems are the ideal complement to established urban greening. Where trees have no room to root and the care of green strips fails, Green City Solutions‚Äô products offer a measurable and space-efficient improvement in quality of life and stay. The core product is an air filter and cooler based on moss. The biotechnology is energy-efficient, generates no excess waste, and is 99% recyclable.",Enhanced public health.,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"51.1638175, 10.4478313",,,,,,,,,,,,,Air Filter,Innovation,Moss,Biotechnology,,Good health and well-being,"Industry, innovation and infrastructure",Sustainable cities and communities,Climate action,51.1638175,10.4478313,,,,,,,,,,,,,,,,,,,,,,,,,network,medicine,efficient,improvement,heat,biomimicry,biowaste,extracting,clean,filtration,planted,reconstitution,cooled,repurposed,health,biocoal,paisaje,ecological,improve,réchauffement,improving,telecom,internet,communications,filter,,,,,,,,,,,,,innovation,biotechnology,Air Filter,Moss,,,,,
25,Building Suburban Bike Culture with Community Bike Hubs,Capacity building,Transport,"There is significant untapped potential for cycling in suburban neighborhoods. The Center for Active Transportation (TCAT) uses an innovative, evidence-based approach to incubating cycling in suburban communities through community bike hubs. Community bike hubs are spaces where people can learn more about cycling, meet other people who cycle, and go cycling together. They offer bike loans, bike mentorships, earn-your-bike programs, and guided rides, to encourage people to adopt cycling in areas where few people cycle. By addressing significant barriers in suburbs outside of infrastructure, the approach can accelerate cycling adoption and grow a cycling community. TCAT‚Äôs community bike hub approach is based on a four-step approach that other suburban communities can replicate: 1) find the neighborhood, 2) identify local barriers, 3) remove barriers and start cycling, and 4) keep cycling. In total, they have launched six community bike hubs in four jurisdictions (Peel Region, Scarborough, Markham, and Newmarket), each with positive results.","Enhanced public health, both due to reduced air pollution and incresed physical exercise. A sense of community.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,The TCAT guide for establishing a Community Bike Hub: https://tcat.ca/wp-content/uploads/2019/01/Building-Bike-Culture-Beyond-Downtown-Report-Web-Version-compressed.pdf,"50.000678, -86.000977",,,,,,,,,,,,,Suburban Biking,Biking,Biking Culture,Community Bike Hub,Active Mobility,Good health and well-being,Sustainable cities and communities,Climate action,,50.000678,-86.000977,,,,,,,,,,,,,,,,,,,,,,,,,neighbourhood,medicine,publication,segregated,easier,mental,harm,problemes,health,project,ride,guide,civil,country,attention,improve,improving,unequal,bee,neighborhood,bike,houses,psychological,tutorials,craft,threats,,,,,,,,,,,,Active Mobility,Community Bike Hub,Biking Culture,Biking,Suburban Biking,Climate action,Good health and well-being,Sustainable cities and communities,
